itemid	category	subcategory	title	description	attrs	price	is_proved	is_blocked	phones_cnt	emails_cnt	urls_cnt	close_hours
10000255	Транспорт	Автомобили с пробегом	Daewoo Nexia, 2006	гбу,итальянка,эпд,пэп,кап.ремонт двигателя месяц назад,все сезонка,сигнализация,чехлы,магнитола ,литьё все вопросы по телефону возможно торг......или обмен	"{""Год выпуска"":""2006"", ""Тип кузова"":""Седан"", ""Пробег"":""150 000 - 159 999"", ""Коробка передач"":""Механическая"", ""Объем двигателя"":""1.5"", ""Тип двигателя"":""Бензиновый"", ""Марка"":""Daewoo"", ""Модель"":""Nexia"", ""Цвет"":""Голубой"", ""Привод"":""Передний"", ""Руль"":""Левый"", ""Состояние"":""Не битый""}"	150000		0	0	0	0	0.24
10000263	Недвижимость	Дома, дачи, коттеджи	Дом 130 м² на участке 7 сот.	Продаю новый дом площадь от 100 - 140 м,имеются участки в черте города, для строительства нового современного дома с панорамным остеклением и дизайном, срок возведения от 30 до 60 суток взависимости от проекта,так же предлагаем большой выбор проетов на ваш вкус,благоустройства участка и дома под ключ(бани,бассейны,беседки,каменное покрытие двора, полное автоматичское управление домом,видеонаблюдение,и.т.д) гарантия качества. Компания ОАЗИС приглашает инвесторов в долевом участие высокий доход.	"{""Тип объявления"":""Продам"", ""Вид объекта"":""Дом"", ""Расстояние до города, км"":""В черте города"", ""Материал стен"":""Сэндвич-панели"", ""Площадь дома"":""130"", ""Площадь участка"":""7""}"	2900000		0	0	0	0	3.02
10000287	Бытовая электроника	Телефоны	Apple iPhone 5 64Gb Black sim-free Европа в идеале	Отличное состояние, полный комплект (всё родное и оригинал). Цвет черный. сим-фри. Экран с первого дня под плёнкой. Из Финки т.е. поддерживает наши сети LTE ! ^p Звоните ! Сегодня отдам за 18000 !!!	"{""Вид телефона"":""iPhone""}"	18500		0	0	0	0	12.14
10000290	Услуги	Предложения услуг	Дизайн интерьера + комплексная отделка	Приветствую ! ^p Если Вы выбрали наше объявление,то это значит что Вы подбираете выгодный вариант для ремонта квартиры.И скорее всего уже перебрали множество вариантов,но ничего Вас не привлекло. ^p Поэтому специально для Вас мы придумали новую услугу ДИЗАЙН-МАКЕТ . ^p Выбрав её Вы приобретаете : ^p - ПЕРСОНАЛЬНОГО дизайнера ^p -ИНДИВИДУАЛЬНЫЙ проект квартиры за РАЗУМНЫЕ деньги ^p -смету по материалам и мебели БЕСПЛАТНО ^p -возможность увидеть как выглядит спроектированная квартира еще ДО НАЧАЛА работ ^p - внести изменения в проект,БЕЗ ДОПОЛНИТЕЛЬНЫХ затрат ^p -МИНИМАЛЬНЫЕ СРОКИ проектирования(до 1 недели) ^p - консультации ОПЫТНОГО дизайнера БЕСПЛАТНО ^p -ПРОФЕССИОНАЛЬНУЮ бригаду ^p - КАЧЕСТВЕННУЮ отделку ^p -ГАРАНТИЯ НА РАБОТЫ 3 ГОДА ^p - и конечно же квартиру Вашей МЕЧТЫ в итоге ! ^p Это все для Вас ...,но тк эта услуга уже ПОПУЛЯРНА,мы проводим ее ТОЛЬКО ОДИН РАЗ в 90 дней с 27 по 31 число текущего месяца. ^p ЗВОНИТЕ 925 57 17 !Мы ждем Вашего звонка !!!	"{""Вид услуги"":""Ремонт, строительство""}"	0		0	0	0	0	0.04
10000299	Личные вещи	Детская одежда и обувь	Костюм Didriksons Boardman, размер 100, краги, шап	Костюм Didriksons Boardman, в отличном состоянии, размер 100 ^p Водонепроницаемый (прорезиненный) ветронепродуваемый костюм на флисе. ^p Куртка (зигзаг на молочном)+полукомбинезон с флисовой грудкой (темно) синий  ^p Краги  р. 4	"{""Вид одежды"":""Для мальчиков"", ""Предмет одежды"":""Верхняя одежда"", ""Размер"":""110-116 см (4-6 лет)""}"	3000		0	0	0	0	5.49
10000309	Недвижимость	Квартиры	1-к квартира, 44 м², 9/20 эт.	В кирпичном пан.-м доме, продается одноком.-ая, в строящемся доме, сдача сост.-ся в 3,4-м квартале 2014 г., отд. черн.-ая, площ. 4@@PHONE@@3 м.кв., на 9-м этаже из 20-ти, цена 59000 р.м.кв.	"{""Тип объявления"":""Продам"", ""Количество комнат"":""1"", ""Вид объекта"":""Новостройка"", ""Этаж"":""9"", ""Этаж"":""Не первый и не последний"", ""Этажей в доме"":""17-25"", ""Этажей в доме"":""20"", ""Тип дома"":""Кирпичный"", ""Адрес"":""Набережная, 39/3""}"	2642020		0	1	0	0	22.47
10000316	Услуги	Предложения услуг	Шпаклевку, плитка	предлагаем услуги	"{""Вид услуги"":""Ремонт, строительство""}"	0		0	0	0	0	15.27
10000317	Услуги	Предложения услуг	Поездки на таможню, печать в паспорте	Поездки на таможню гражданам СНГ для пересечения границы,и получения новой миграционной карты 1500-3000	"{""Вид услуги"":""Деловые услуги"", ""Тип услуги"":""Юридические услуги""}"	1500	0	1	0	0	0	1.43
10000338	Недвижимость	Квартиры	3-к квартира, 59 м², 5/5 эт.	Все комнаты раздельное . Косметический ремонт. Окна  новые  металопластиковые  пластиковые. Балкон закрыт - металопластиковые. Санузел в отличном состоянии.проведено новое современное отопление.вода отлично поступает в любое время суток установлен насос. Цена  1300 т. Р.	"{""Тип объявления"":""Продам"", ""Количество комнат"":""3"", ""Вид объекта"":""Вторичка"", ""Этаж"":""5"", ""Этаж"":""Не первый"", ""Этажей в доме"":""5"", ""Этажей в доме"":""5-8"", ""Тип дома"":""Кирпичный"", ""Площадь"":""59"", ""Адрес"":""Лабинск. Ул мира 3-х сотый квартал""}"	1300000		0	0	0	0	0.11
10000348	Для дома и дачи	Мебель и интерьер	Продам комод	Продам новый комод.	"{""Вид товара"":""Шкафы и комоды""}"	6900		0	0	0	0	0.21
10000369	Услуги	Предложения услуг	Установка дверей, монтаж пвх окон	гарантия,качество!	"{""Вид услуги"":""Ремонт, строительство""}"	0		0	0	0	0	0.16
10000372	Недвижимость	Квартиры	3-к квартира, 90 м², 13/17 эт.	Все коммуникации центральные. Остановки городского автотранспорта. Первоклассная квартира в сданном 17-этажном жилом комплексе. Внутри жилого комплекса пешеходная зона, свободная от транспорта. Охраняемая подземная парковка навсегда избавит вас от проблем с размещением вашего автомобиля. Современный внешний вид жилого комплекса.	"{""Тип объявления"":""Продам"", ""Количество комнат"":""3"", ""Вид объекта"":""Новостройка"", ""Этаж"":""Не первый и не последний"", ""Этаж"":""13"", ""Этажей в доме"":""17-25"", ""Этажей в доме"":""17"", ""Адрес"":""ул. Российская, 74""}"	3969000		0	0	0	0	20.50
10000390	Бытовая электроника	Телефоны	Icom IC-R1 радиосканер (100кГц-1300мГц)	"ICOM IC-R1 радиосканер (100кГц-1300мГц). в комплекте: приемник,2 антенны, з/у, инструкция. без ""дырок"". состояние рабочее.Оплата: карта сбербанка, почтовый перевод. Пересыл на покупателе по тарифам почты РФ ^p SPECIFICATIONS Type: HF/VHF/UHF receiver/scanner Frequency range: 0.1-1300 MHz ^p (0.5 / 5 / 8 / 9 / 10 / 12.5 / 15 / 20 / 25 / 30 / 50 / 100 KHz steps) Mode: AM/FM/WFM Receiver system: Dual conversion superheterodyne (WFM) ^p Triple conversion superheterodyne (AM/FM) ^p 1st IF: 266.7 MHz ^p 2nd IF: 10.7 MHz ^p 3rd IF: 455 KHz (AM/FM only) Sensitivity: N/A Selectivity: AM: 15 KHz (-6 dB) ^p FM: 15 KHz (-6 dB) ^p WFM: 150 KHz (-6 dB) Sensitivity: AM (10 dB S/N) ^p 2-25 MHz: 1.6 uV ^p 25-905 MHz: 0.79 uV ^p FM (12 dB SINAD) ^p 2-25 MHz: 0.79 uV ^p 25-905 MHz: 0.4 uV ^p WFM (12 dB SINAD) ^p 2-25 MHz: 6.3 uV ^p 25-905 MHz: 3.16 uV Voltage: 7.2 VDC internal or 6-16 VDC external Current drain: 15-300 mA Impedance: 50 ohms, BNC Dimensions (W*H*D): 49*103*35 mm Weight: 280 gr Manufactured: Japan, 1990-199x (Discontinued) Other: 100 memories"	"{""Вид телефона"":""Рации""}"	4000		0	0	0	0	6.10
10000397	Недвижимость	Дома, дачи, коттеджи	Дача 120 м² на участке 10 сот.	Продается дача в р-не Салаирского тракта,расстояние от города 22км,полностью из экологически чистого материала,в 2-х метрах от дома сосновый лес.. 8-@@PHONE@@ — @@URL@@ ^p Тюмень, 2-я ^p № в базе: jb#6489	"{""Тип объявления"":""Продам"", ""Вид объекта"":""Дача"", ""Площадь участка"":""10""}"	4200000		0	1	0	1	11.53
10000420	Личные вещи	Одежда, обувь, аксессуары	Полушубок енот м капюшоном	Полушубок из енота с капюшоном. Размер 46-48, рост до 175. Состояние хорошее. Очень лёгкий и тёплый. Внизу регулируется шнурком.	"{""Вид одежды"":""Женская одежда"", ""Предмет одежды"":""Верхняя одежда"", ""Размер"":""46–48 (L)""}"	6500		0	0	0	0	21.71
10000422	Личные вещи	Товары для детей и игрушки	Детские санки	Детские санки Piccolino с конвертом из натуральной овчины. ^p -санки окрашеные экологически чистым полимерным покрытием ^p -ручка-толкатель с регулировкой ^p -пластиковые подножки для ребенка ^p -удобный и теплый спальный мешок, выполненный из овчины ^p -ремень безопасности ^p -сиденье выполнено из пластика ^p -высокая спинка ^p -широкая верёвка-буксир ^p -вес санок: 4,9 кг ^p -легко трансформируются в обычные санки для катания с горки ^p -муфта для рук. ^p Страна-изготовитель: Польша ^p Гарантия: 1 год ^p Цвета в наличии: серый, черный, бирюзовый, салатовый, красный, тёмно-синий, комбинированный.	"{""Вид товара"":""Детские коляски""}"	6900		0	0	0	0	0.45
10000423	Личные вещи	Товары для детей и игрушки	Переноска для ребенка	продаю переноску для ребенка в очень хорошем состоянии, в комплекте матрасик и ажурная пеленка, капюшон отстегивается.	"{""Вид товара"":""Постельные принадлежности""}"	500		0	0	0	0	0.41
10000440	Хобби и отдых	Спорт и отдых	Сноуборд комплект для девушки	Продам комплект для девушки (сноуборд, ботинки, крепления): ^p - сноуборд Rossignol (150см) коричневый с цветочным рисунком, подходит как для начинающих так и для уверенных райдеров.  ^p - ботинки Airborn (39 рр, длина по стельке 26 см) темно-коричневые ^p - крепления Атом (джинс) ^p Все в очень хорошем состоянии, т.к. катались пару сезонов, в сумме всего раз 8-10.	"{""Вид товара"":""Зимние виды спорта""}"	11000		0	0	0	0	22.45
10000445	Недвижимость	Комнаты	Комната 13 м² в 2-к, 5/5 эт.	Комната в 2к квартире с хозяйкой в г.Машиностроителей. ^p  Для одной девушки. 3000руб/мес ^p 8@@PHONE@@	"{""Тип объявления"":""Сдам"", ""Срок аренды"":""На длительный срок"", ""Комнат в квартире"":""2"", ""Этаж"":""5"", ""Этаж"":""Не первый"", ""Этажей в доме"":""5"", ""Этажей в доме"":""5-8"", ""Тип дома"":""Кирпичный"", ""Адрес"":""г.Машиностроителей""}"	3000		0	1	0	0	23.69
10000459	Недвижимость	Коммерческая недвижимость	Продам офис 150 кв. м., Аллея Труда, 21	Офисное помищение 150 кв.м. Переведено в нежилой фонд. Выполнен современный ремонт. Пластиковое остекление. Полы в кафельной плитке. Свет, отопление, сигнализация. Сделано крыльцо. Идеално подойдет под любой офис, а так же для банковского бизнеса. Все подробности по телефону. Все документы готовы к совершению сделки. Площадь: 150.00 ^p Комсомольск-на-Амуре, Аллея Труда, 21 ^p № в базе: 260314582	"{""Тип объявления"":""Продам"", ""Вид объекта"":""Офисное помещение"", ""Площадь"":""150"", ""Адрес"":""Комсомольск-на-Амуре, Аллея Труда, 21""}"	12000000		0	0	0	0	23.90
10000464	Личные вещи	Товары для детей и игрушки	Качалка- меховая Лошадь		"{""Вид товара"":""Игрушки""}"	500		0	0	0	0	21.74
10000478	Услуги	Предложения услуг	Рефлекторно-урогинекологический массаж	Комбинированная методика рефлекторных техник массажа, направленная на улучшение работы органов мочеполовой системы, и устраняющая воспалительно-спаечные процессы органов малого таза, что дает положительный эффект при ряде заболеваний, таких как синдром хронической тазовой боли, заболевания почек, мочевого пузыря, цисталгия, хронический простатит, эректильная дисфункция, преждевременная эякуляция, нарушение менструального цикла, функциональные заболевания женских половых органов, предклимактерические и климактерические состояния, ночной энурез и пр.	"{""Вид услуги"":""Красота, здоровье""}"	1000	0	1	0	0	0	1.19
10000492	Для дома и дачи	Мебель и интерьер	Компьютерный стол	Угловой компьютерный стол,1400*800*1300 ^p В хорошем состоянии ^p Цвет как на картинке	"{""Вид товара"":""Компьютерные столы и кресла""}"	3000		0	0	0	0	0.66
10000522	Услуги	Запросы на услуги	Возьму суду под200 т. р	Возьму суду под ℅для открытия магазина	"{""Вид услуги"":""Другое""}"	0	0	1	0	0	0	0.08
10000544	Транспорт	Запчасти и аксессуары	Штампованные диски R14 4х114.3	Продаю комплект штампованных дисков от Альмера классик. ^p R14 4х114,3 - 4шт. в отличном состоянии, цвет серый.  ^p Не гнутые, ездил 2 месяца. Купил литые поэтому продаю.  ^p На ВАЗ не подойдут.	"{""Вид товара"":""Шины, диски и колёса"", ""Тип товара"":""Диски""}"	1900		0	0	0	0	0.54
10000621	Транспорт	Запчасти и аксессуары	Renault logan сиденья передние кожа+ обогрев	Свежеперешитые, кожа, обогрев, боковая поддержка, БЕЗ ПОДГОЛОВНИКОВ, комплект из 2 правый и левый.	"{""Вид товара"":""Запчасти"", ""Тип товара"":""Для автомобилей""}"	2000		0	0	0	0	21.97
10000655	Личные вещи	Одежда, обувь, аксессуары	Ботинки милитэри Iron Fist	ТОЛЬКО ОРИГИНАЛЬНЫЕ ВЕЩИ. НИКАКОГО ФЕЙКА И КОПИЙ. ^p Ботинки милитэри Iron Fist модель Night Shift (новые в коробке) ^p Удобная и надёжная демисезонная модель от известного брэнда. ^p Высококачественные материалы и безупречное изготовление. ^p Оригинальные детали дизайна,шнурки с пропиткой,заклёпки,прошитая по периметру подошва,металлический лейбл на голенище. ^p Материал верха - натуральная кожа тёмно-коричневого цвета,натуральная замша в отделке. ^p Язычок из плотного канваса с замшевой оторочкой. ^p Размеры:  ^p RUS44,EUR45,US12 (длина по стельке-29,5-30см). ^p СКИДКА ПРИ САМОВЫВОЗЕ ИЗ ЖУКОВСКОГО. ^p  ДОСТАВКА К ЛЮБОЙ СТАНЦИИ МЕТРО ПО ДОГОВОРЁННОСТИ ИЛИ ОТПРАВЛЮ ПОЧТОЙ ПО РОССИИ. ^p ПОКА ОБЪЯВЛЕНИЕ НА САЙТЕ ОНО АКТУАЛЬНО,ЗВОНИТЕ,ПИШИТЕ. ^p ПО ЗАПРОСУ ВЫШЛЮ НА ВАШ E-MAIL АДРЕС МОЕГО САЙТА.	"{""Вид одежды"":""Мужская одежда"", ""Предмет одежды"":""Обувь"", ""Размер"":""44""}"	2500		0	0	0	0	1.13
10000694	Транспорт	Грузовики и спецтехника	Валдай газ-33104 2008год	Валдай 2008 год. В отличном сост. Без аварий.Не перегружал. Рама не варена. Новые радиатор, АКБ, турбина, стартер,импортный тент. Резина остаток 80% Цена 375 тыс. руб. Тел. 8 @@PHONE@@. Александр	"{""Вид техники"":""Грузовики""}"	375000		0	1	0	0	13.95
10000700	Личные вещи	Часы и украшения	Бусы ассорти (натуральные камни)	h-52 см	"{""Вид товара"":""Ювелирные изделия""}"	700		0	0	0	0	2.28
10000703	Личные вещи	Детская одежда и обувь	Костюмчик для девочки	Брючки и курточка с капюшоном, светло- сиреневый цвет,  белая отделка .  Ткань- х/ б , но достаточно плотная. В хорошем состоянии.	"{""Вид одежды"":""Для девочек"", ""Предмет одежды"":""Брюки"", ""Размер"":""98-104 см (2-4 года)""}"	250		0	0	0	0	20.36
10000800	Личные вещи	Товары для детей и игрушки	Сувениры пакетом	Всё 250р	"{""Вид товара"":""Игрушки""}"	250		0	0	0	0	10.35
10000817	Работа	Вакансии	Медконсультант	Требования: медицинское/фармацевтическое образование, коммуникабельность. Обязанности: прием тел. звонков, консультирование по препаратам и приборам компании, планирование работы, ведение отчетности. Условия: гибкий график работы (возможность совмещения или подработки), оформление по ТК РФ, постоянная оплата труда, +премии, +льготы, з/п 19000 руб.	"{""Сфера деятельности"":""Медицина, фармацевтика"", ""График работы"":""Полный день""}"	19000		0	0	0	0	0.94
10000824	Услуги	Предложения услуг	Мастер на час, сборка мебели, мелкий быт. ремонт	Сборка,установка корпусной мебели. ^p  Ремонт мебели. ^p  Демонтаж мебели,техники. ^p  А так же переезд,перестановка,подготовка мебели к переезду. ^p  Помощь в переезде. ^p  Мелкий бытовой ремонт(выполню все,звоните спрашивайте отвечу всем) ^p  Инструмент свой,работаю сам,цены не завышаю. ^p  Звоните в любое время.	"{""Вид услуги"":""Бытовые услуги"", ""Тип услуги"":""Сборка и ремонт мебели""}"	100		0	0	0	0	21.71
10000834	Личные вещи	Детская одежда и обувь	Конверт. овчина	Конверт для новорождённых . В отличном состояние, мех натуральный (овчина) Тёплый, мягкий. 500 руб т. 255-000	"{""Вид одежды"":""Для девочек"", ""Предмет одежды"":""Верхняя одежда"", ""Размер"":""50-56 cм (0-2 мес)""}"	500		0	0	0	0	0.03
10000869	Личные вещи	Одежда, обувь, аксессуары	Кофта Ralph Lauren. Мужская	Кофта Ralph Lauren. Мужская. Размер L. Бесплатная доставка до любой станции метро	"{""Вид одежды"":""Мужская одежда"", ""Предмет одежды"":""Трикотаж и футболки"", ""Размер"":""48–50 (L)""}"	1500		0	0	0	0	0.17
10000967	Транспорт	Автомобили с пробегом	ВАЗ 2129, 1998	Приобретите автомобиль в достойном состоянии, не царапана, родной раскрас. Ездили с умом, в салоне не грязно, сидения как новые, ремни безопасности исправны. на прошлой неделе были в сервисе, все проверили, все в рабочем состоянии, колеса сбалансироны. Очень жалко продавать, но переезжаем.	"{""Марка"":""ВАЗ (LADA)"", ""Модель"":""2129"", ""Год выпуска"":""1998"", ""Пробег"":""100 000 - 109 999"", ""Тип кузова"":""Внедорожник"", ""Цвет"":""Пурпурный"", ""Объем двигателя"":""1.7"", ""Коробка передач"":""Автоматическая"", ""Тип двигателя"":""Дизельный"", ""Привод"":""Задний"", ""Руль"":""Левый"", ""Состояние"":""Не битый""}"	99000		0	0	0	0	13.98
10000991	Недвижимость	Комнаты	Комната 12 м² в 2-к		"{""Тип объявления"":""Сдам"", ""Срок аренды"":""На длительный срок"", ""Комнат в квартире"":""2"", ""Тип дома"":""Панельный"", ""Адрес"":""Байкальская 25""}"	14000		0	0	0	0	22.50
10001021	Недвижимость	Квартиры	1-к квартира, 18 м², 4/5 эт.	Продается 1-комн. квартира молодежного типа, 18,1 м² на 4 этаже 5-этажного кирпичного дома, прихожая-кухня, с/у совмещен, пластиковое окно, новые трубы, радиаторы, теплая, состояние хорошее.	"{""Тип объявления"":""Продам"", ""Количество комнат"":""1"", ""Вид объекта"":""Вторичка"", ""Этаж"":""Не первый и не последний"", ""Этаж"":""4"", ""Этажей в доме"":""5-8"", ""Этажей в доме"":""5"", ""Тип дома"":""Кирпичный"", ""Адрес"":""улица Терешковой, 28/4""}"	1190000		0	0	0	0	21.01
10001044	Недвижимость	Квартиры	1-к квартира, 25 м², 5/5 эт.	продаю свою 1 комн квартиру, Вартанова, 8. 5/5. после ремонта (новая проводка, ламинат, обои, межкомнатные двери, в ванной-плитка). рядом школа, дет сад, налоговая. 1650тр.подходит под ипотеку. За наличку - возможен торг. Андрей 8@@PHONE@@	"{""Тип объявления"":""Продам"", ""Количество комнат"":""1"", ""Вид объекта"":""Вторичка"", ""Этаж"":""5"", ""Этаж"":""Не первый"", ""Этажей в доме"":""5"", ""Этажей в доме"":""5-8"", ""Тип дома"":""Кирпичный"", ""Площадь"":""25"", ""Адрес"":""Аксай, Вартанова, 8""}"	1650000		0	1	0	0	12.40
10001121	Для дома и дачи	Мебель и интерьер	"Кухня мдф готовая ""Грация"" на складе"	Тoлькo с 12 дeкaбря пo 8 янвaря нa ВСe Мoдульныe Кyхoнныe гaрнитypы, oфoрмлeнныe в ДНИ АКЦИИ - СКИДКa 15%. Зaкaзывaйтe нужную пo рaзмeру кухню с хoрoшeй скидкoй! ^p  Гoтoвыe кухни из МДФ: ^p  Цeнa yкaзaнa зa кухoнный гaрнитyp кaк нa фoтoгрaфии с стoлeшницeй и фурнитypoй! Фaсaды МДФ!!! Кoрпус ЛДСП. ^p  oбрaзeц вы мoжeтe пoсмoтрeть у нaс в выстaвoчнoм зaлe, eгo aдpeс, a тaкжe бoльшoй выбoр дрyгих кyхoнных гaрнитypoв y нaс нa сaйтe ДМЕБЕЛЬ тoчкa РФ. ^p  Пoсмoтрeв oбрaзцы, вы смoжeтe срaзу зaбpaть и yвeзти пoнрaвившyюся кyхню нa свoeм лeгкoвoм aвтoмoбилe или зaкaзaть дoстaвкy. ^p  Рaзмeры дaннoй куxни: ^p  стoл пoд нaклaднyю мoйкy - 800 мм ^p  стoл сo стoлeшницeй - 800 мм ^p  стoл в выдвижными ящикaми - 400 мм ^p  Шкaф пoдвeснoй - 800 мм ^p  Шкaф пoдвeснoй с стeклянными двeркaми - 800 мм ^p  Шкaф пoдвeснoй - 400 мм ^p  стoлeшницa и вся фyрнитyрa в кoмплeктe! ^p  Дoстaвкa вoзмoжнa в дeнь зaкaзa	"{""Вид товара"":""Кухонные гарнитуры""}"	15000		0	0	0	0	1.54
10001128	Хобби и отдых	Велосипеды	Велосипед Stels адреналин. Двухподвес	Велосипед в хорошем состоянии. ^p Стоят неродные фирменные втулки Shimano. ^p Установлены диски и фирменные машинки от Shimano. ^p Задняя трещотка заменена на касету 7 звезд (спереди 3). ^p Монетки переключения передач фирменные от Shimano. ^p На велосипеде зимняя четырехрядная шипованная резина (без нее отдам за 16000, но летней у меня нет, поэтому вам нужна будет своя резина)	"{""Вид велосипеда"":""Горные""}"	18000		0	0	0	0	8.62
10001156	Недвижимость	Квартиры	3-к квартира, 80 м², 12/17 эт.	Трехкомнатная квартира г. Щелково, мкр. Финский, д. 9 корпус 1, расположенная на 12-ом этаже 17-ти этажного монолитно-кирпичного  дома. Общая площадь 80 метров, жилая 40 метров, комнаты 19 метров, 11 метров, 10 метров изолированные, кухня 12,5 метров. Шикарная, просторная трехкомнатная квартира с качественным ремонтом, полы-ламинат, раздельный санузел в плитке, 2-е застекленные лоджии, окна ПВХ. ВО дворе большая детская площадка, детский сад, магазины , аптека, поликлиника детская и взрослая. До автобусной остановки 5 минут пешком, до ж/д станции 15 минут на маршрутке. ^p № в базе: 2195	"{""Тип объявления"":""Продам"", ""Количество комнат"":""3"", ""Вид объекта"":""Вторичка"", ""Этаж"":""Не первый и не последний"", ""Этаж"":""12"", ""Этажей в доме"":""17-25"", ""Этажей в доме"":""17"", ""Тип дома"":""Кирпичный"", ""Адрес"":""Щелково, Финский""}"	5430000		0	0	0	0	13.81
